Frags,Occurances
[#6](-[#6]-[#6](-[#6](-[#6])=[#6])-[#6]-[#6]=[#6]-[#6]-[#6]-[#6]-[#6])-[#6],2
[#6](-[#6](-[#6])-[#6])(-[#6]-[#6](-[#6](-[#6])=[#6])-[#6]-[#6]=[#6]-[#6]-[#6])-[#6],2
[#6]-1-[#6]-[#6](-[#6](-[#6])=[#6])-[#6]-[#6]=[#6]-[#6]-[#6]-[#6]-[#6]-1-[#6],2
[#6](-[#6](-[#6])-[#6]-[#6]-[#6]-[#6]=[#6]-[#6]-[#6]-[#6]=[#6])(-[#6])-[#6],2
[#6](-[#6])(-[#6]-[#6](-[#6](-[#6])=[#6])-[#6]-[#6])(-[#6])-[#6]-[#6]-[#6]-[#6],2
[#6]:[#6]:[#6](-[#7]-[#6](-[#6])=[#8]):[#6]-[#6]-[#6],2
[#6](:[#6]:[#6](-[#8]-[#6]):[#6]-[#6]):[#7],2
[#6]:1:[#6]:[#6](-[#8]):[#6]:[#7]:1,2
[#6](:[#6]:[#6](-[#6]):[#7]):[#6]-[#6]=[#8],2
[#6](:[#6]:[#6]:[#6])-[#6]:[#6]:[#6]:[#6]-[#6]=[#8],2
[#6](:[#7]:[#6])(:[#6])-[#6]:[#7]:[#6](-[#6]=[#8]):[#6]:[#6],2
[#6]-[#6](:[#6]:[#6](-[#8]):[#6]):[#7],2
[#6](:[#7]:[#6]:[#6])(:[#6])-[#6]:[#7]:[#6]:[#6]:[#6],2
[#6]:1(:[#6]:[#6]:[#6]:[#7]:1)-[#6]:[#6]:[#6]:[#6],2
[#6](:[#6]:[#6]:[#6])-[#6]:[#6]:[#6](-[#8]):[#6]-[#6],2
[#6]-1(-[#6]-[#8]-[#15](-[#8])(-[#8])=[#8])-[#6](-[#8]-[#15](-[#8])(-[#8]-[#6]-[#6]-2-[#6](-[#8]-[#15](-[#8])(-[#8]-[#6]-[#6]-3-[#6](-[#8])-[#6]-[#6](-[*])-[#8]-3)=[#8])-[#6]-[#6](-[#7]:3:[#6]:[#6](-[#6]):[#6](-[#7]):[#7]:[#6]:3=[#8])-[#8]-2)=[#8])-[#6]-[#6](-[*])-[#8]-1,2
[#6]-1(-[#7](:[#6]:[#7]):[#6]:[#6]-[#6]-[#8])-[#8]-[#6](-[#6]-[#8])-[#6](-[#8])-[#6]-1,2
[#6](-[#6]-[#6]-[#6]-[#6](-[#6]-[#6]-[#6]-[#6]=[#6]-[#6](-[#6])=[#6]-[#6]-[#6])-[#6])-[#6](-[#8])=[#8],2
[#6](-[#6]-[#6])-[#6](-[#6](-[#6])-[#6](-[#6]=[#6]-[#6]-[#6](-[#6])-[#6])-[#6]-[#6])-[#6]-[#6],2
[#6](-[#6](-[#6]-[#6]-[#6])-[#6]-[#6]-[#6]=[#6]-[#6](-[#6](-[#6])-[#6])=[#6]-[#6]-[#6])(-[#6])-[#6]=[#8],2
[#6](-[#6])(-[#6](-[#6])-[#6]-[#6]-[#6]-[#6](-[#6])-[#6])-[#6]=[#6]-[#6](-[#6])=[#6],2
[#6](-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])(-[#6]-[#6]-[#6]-[#6]=[#6]-[#6]=[#6])-[#6](-[#8])=[#8],2
[#6](-[#6]-[#6]-[#6]-[#6](-[#6]-[#6]-[#6]-[#6]=[#6]-[#6]-[#6]-[#6])(-[#6])-[#6]-[#6]-[#6])(-[#6])-[#6]=[#8],2
[#6](-[#6]-[#6]-[#6]-[#6](-[#6]-[#6]-[#6]-[#6]=[#6]-[#6]-[#6](-[#6])-[#6])(-[#6])-[#6]-[#6]-[#6])(-[#6])-[#6],2
[#6](-[#6]-[#6]-[#6]-[#6](-[#6]-[#6]-[#6]-[#6]-1=[#6]-[#6]=[#6]-[#6]-[#6]-1)-[#6])(-[#6])-[#6],2
[#6](-[#6]-[#6]-[#6]-[#6](-[#6]-[#6]-[#6]-[#6](-[#6]-[#6]-[#6])=[#6]-[#6]-[#6](-[#6])-[#6])-[#6])-[#6]-[#8],2
[#6](-[#6](-[#6](-[#6])(-[#6])-[#6]-[#6]=[#6]-[#6](-[#6])=[#6]-[#6])-[#6])-[#6]-[#8],2
[#6](-[#6]-[#6]-[#6])(-[#6](-[#6](-[#6])-[#6]-[#6]-[#6]=[#6]-[#6]-[#6])-[#6]-[#6]-[#6]=[#6])(-[#6])-[#6]-[#8],2
[#6]-1(-[#6]-2-[#6]-[#6]-[#6](-[#6](-[#6]-2(-[#6])-[#6]-[#6]-[#6]-1)-[#6]-[#6])=[#6]-[#6]-[#6])(-[#6])-[#6](-[#8])=[#8],2
[#6](-[#6]-[#6]-[#6]-[#6](-[#8])=[#8])-[#6]=[#6]-[#6]=[#6]-[#6]-[#6],2
[#6](-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](-[#8])=[#8])-[#6]-[#6]=[#6]-[#6]=[#6]-[#6]-[#6]-[#6],2
[#6]-[#6]-[#6]=[#6](-[#6]=[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](=[#8])-[#8])-[#6]-[#6],2
[#6](-[#6]-[#6]-[#6]-[#6](-[#6])-[#6]-[#6](=[#6]-[#6]-[#6](-[#6])-[#6])-[#6]-[#6]-[#6])-[#6]-[#8],2
[#6]-1(-[#6]-2-[#6]-[#6]-[#6]-[#6](-[#6]-2(-[#6])-[#6]-[#6]-[#6]-1)-[#6]-[#6]=[#6](-[#6](-[#6])-[#6])-[#6])(-[#6])-[#6](-[#8])=[#8],2
[#6](-[#6]-[#6])(-[#6]-[#6](-[#6])-[#6]-[#6]-[#6]=[#6](-[#6])-[#6]=[#6]-[#6]-[#6])-[#6],2
[#6](-[#6]-[#6]-[#6]-[#6](-[#6])-[#6]-[#6]=[#6]-[#6]-[#6](-[#6])-[#6])-[#6](-[#8])=[#8],2
[#6](-[#6]-[#6]-[#6]-[#6](-[#6]-[#6]-[#6]-[#6](-[#6]-[#6]-[#6])=[#6]-[#6]-[#6]-[#6])-[#6])(-[#6])-[#6](-[#8])=[#8],2
[#6]-1-[#6](-[#8])(-[#6])-[#6](-[#7]-[#6])-[#6](-[#8])-[#6](-[#8]-[#6]-2-[#6](-[#7])-[#6]-[#6](-[#7])-[#6](-[#8]-[#6]-3-[#8]-[#6](-[#6](-[#7])-[#6])-[#6]-[#6]-[#6]-3-[#7])-[#6]-2-[#8])-[#8]-1,2
[#6]-[#6](-[#6])(-[#6]-[#6](-[#8])-[#6]-[#6](-[#6])-[#6]-[#8])-[#6]=[#6]-[#6](=[#8])-[#6]-[#6],2
[#6](-[#8]-[#6](=[#8])-[#6]-[#6])(-[#6]-[#6](-[#8])-[#6]-[#6](-[#6])-[#6]=[#6]-[#6])-[#6],2
[#6](-[#6](-[#6](-[#6])-[#6]-[#8])-[#6](-[#8])-[#6]-[#6](-[#6])-[#6]=[#6]-[#6]=[#8])-[#6],2
[#6](-[#8])(-[#6]-[#6]-[#6]-[#6]-[#6])-[#6]=[#6](-[#6])-[#6]=[#8],2
[#6](-[#8]-[#6]=[#8])(-[#6](-[#6]-[#6])-[#6]-[#6]-[#6]-[#6]=[#6]-[#6](=[#8])-[#6]-[#6])-[#6],2
[#6]-[#6]-1=[#6]-[#6](-[#6]=[#6]-[#6]-1(-[#6])-[#6]-[#6](-[#8])-[#6]-[#6](-[#6])-[#6]-[#8])=[#8],2
[#6]-1-2-[#6]-[#6](-[#6])(-[#6])-[#6]-[#6]-[#6]-1-[#6]-[#6](-[#8]-2)=[#8],2
[#6]-1(-[#6](-[#6](-[#6])-[#6](-[#8]-1)=[#8])-[#6](-[#8])-[#6]-[#6](-[#6])-[#6])-[#6]=[#6](-[#6])-[#6]-[#6],2
[#6]-1-[#6]-[#6](-[#6])(-[#6]-[#6]-[#6]-1-[#6](-[#6])-[#6])-[#6]=[#6]-[#6]-[#6]-[#6],2
[#6]-[#6]=[#6](-[#6])-[#6]-[#6]=[#6]-[#6](-[#6])-[#6]-[#6](-[#8])-[#6]-[#6](-[#6])-[#6],2
[#6]-[#6](-[#6](-[#6])(-[#6]-[#6]-[#8])-[#6])=[#6](-[#6])-[#6]=[#8],2
[#6](-[#8]-[#6]=[#8])(-[#6](-[#6]-[#6])-[#6]-[#6])-[#6]-[#6]-[#6]=[#6]-[#6](=[#8])-[#6]-[#6],2
[#6](-[#8]-[#6](=[#8])-[#6]-[#6])(-[#6]-[#6]-[#6]-[#6](-[#6])-[#6]=[#6]-[#6]-[#6]-[#6])-[#6],2
[#6]-1-2-[#6]=[#6](-[#6])-[#6]-[#6]=[#6]-[#6](-[#6])-[#6]-[#6](-[#8])-[#6]-1-[#6]-[#6](-[#8]-2)=[#8],2
[#6](-[#6](-[#6]-[#6]-[#6]-[#6](-[#6])-[#6]-[#8])-[#6])=[#6](-[#6])-[#6](-[#6])=[#8],2
[#6](-[#6](-[#6]-[#6]-[#8])-[#6](-[#8])-[#6])-[#6](-[#6](-[#6])-[#6])=[#6](-[#6])-[#6](-[#6])=[#8],2
[#6](-[#8])(-[#6](-[#6](-[#6])-[#6])-[#6](-[#8])-[#6]-[#6](-[#6])-[#6]=[#6]-[#6]=[#8])-[#6],2
[#6]-[#6]-[#6](-[#6])(-[#6]-[#6](-[#8])-[#6]-[#6](-[#6])-[#6]-[#8])-[#6]=[#6]-[#6]-[#6]-[#6],2
[#6](-[#6](-[#6]-[#6]-[#6]-[#6](-[#6])-[#6]=[#8])-[#6])=[#6]-[#6]=[#8],2
[#6](-[#6]-[#6](-[#6])-[#6](-[#8])=[#8])-[#6](-[#6](-[#6])(-[#6]-[#6])-[#6])=[#6]-[#6]-[#6],2
[#6](-[#6](-[#6](-[#6])-[#6](-[#8])=[#8])-[#6]-[#6]-[#6](-[#6])-[#6]=[#6]-[#6]-[#6]-[#6])-[#6],2
[#6](-[#6](-[#6])-[#6]=[#8])(-[#6]-[#6]-[#6])-[#6]-[#6]=[#6](-[#6]=[#8])-[#6],2
[#6](-[#8])(-[#6]-[#6](-[#6])-[#6])-[#6](-[#6])=[#6](-[#6])-[#6]=[#8],2
[#6](-[#6]-[#6](-[#6])-[#6]-[#8])-[#6]-[#6](-[#6])(-[#6]-[#6]-[#8])-[#6]=[#6]-[#6]=[#8],2
[#6](-[#8])(-[#6](-[#6](-[#6])-[#6])-[#6]-[#6]-[#6]-[#6])-[#6]=[#6]-[#6]=[#8],2
[#6]-1(-[#6]-[#6]-[#6](-[#8]-1)=[#8])-[#6](-[#6]-[#6])=[#6](-[#6])-[#6](-[#6])=[#8],2
[#6](-[#8]-[#6])-[#6](-[#6]-[#6])-[#6]-[#6]-[#6](-[#6])(-[#6])-[#6]=[#6]-[#6]-[#6]-[#6],2
[#6](-[#8]-[#6]-[#6](-[#6])-[#6]-[#6](-[#8])-[#6]-[#6](-[#6])-[#6]=[#6]-[#6]=[#8])-[#6]=[#6]-[#6],2
[#6](-[#8]-[#6]-[#6]-[#6])(-[#6]-[#6]-[#6]-[#6](-[#6])-[#6]=[#6]-[#6](=[#8])-[#6]-[#6])-[#6],2
[#6](-[#8]-[#6]-[#6]-[#6]-[#6]-[#8])-[#6]-[#6]-[#6]=[#6]-[#6]=[#8],2
[#6](-[#8]-[#6]-[#6]-[#6]-[#6](-[#8])-[#6])-[#6](-[#6](-[#6])-[#6])=[#6]-[#6](-[#6])=[#8],2
[#6](-[#8]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6])-[#6](-[#6](-[#8])-[#6](-[#8])-[#6]-[#8])-[#8]-[#6]-[#8]-[#6](-[#6]-[#8])-[#6](-[#8])-[#6](-[#8])-[#6]-[#8],2
[#6](-[#6]-[#6]-[#6](-[#6])-[#6]-[#6]-[#6]-[#6](-[#6])(-[#6]-[#6]-[#6](-[#8])-[#6](-[#6])-[#6](-[#8])=[#8])-[#6])-[#6]-[#6](-[#8])=[#8],2
[#6](-[#6](-[#6]-[#6])(-[#6]-[#6]-[#6]-[#6]-1(-[#6])-[#6](-[#6]-2-[#6](-[#6](-[#6](-[#8])=[#8])-[#6](-[#8])-[#6]-[#6]-2)-[#6]-[#6]-1)-[#6]-[#6])-[#6](-[#6]-[#6])-[#6])-[#8],2
[#6](-[#6])(-[#6](-[#6])-[#6]-[#6](=[#8])-[#8])(-[#6]-[#6]-[#6](-[#6](-[#6])=[#6]-[#6])-[#6]-[#6])-[#6]-[#6](-[#8])-[#6]-[#8],2
[#6](-[#6](-[#6])-[#6]-[#6]-[#6]-[#6](-[#6])-[#6])-[#6]-[#6]-[#6]-[#6]-[#6](-[#6](-[#6]-[#6]-[#6]-[#8])(-[#6])-[#6]-[#6]-[#6])-[#6]-[#6]=[#8],2
[#8](-[#6]-[#6]-[#6]-[#6]-[#6](-[#8])-[#6]-[#8]-[#6](-[#6])-[#6](-[#8])-[#6]-[#8]-[#6]-[#6]-[#6])-[#6]-[#6]-[#6],2
[#6](-[#8]-[#6]-[#6]-[#6](-[#6])-[#8]-[#6])-[#8]-[#6](-[#6](-[#8])-[#6]-[#6]-[#8])-[#6]-[#8]-[#6]-[#6]-[#6]-[#6](-[#8])-[#6]-[#6],2
[#6](-[#6](-[#6])(-[#6]=[#8])-[#6](-[#6])-[#6](-[#6])-[#6]-[#6]-[#6]-[#6](=[#6])-[#6])-[#8]-[#6]-[#6],2
[#8]-[#6](-[#6]-[#8]-[#6]-[#6]-[#6]-[#6]-[#6])-[#6]-[#8]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]=[#6]-[#6]-[#6],2
[#6]-[#6](-[#6]-[#6]-[#8]-[#6](-[#6]-[#6](-[#8])=[#8])-[#6])-[#8]-[#6]-[#6]-[#6]-[#6],2
[#6](-[#6](-[#6])-[#6]-[#6](-[#8])-[#6]-[#6]-[#6]=[#8])(-[#6])-[#6]-[#6](-[#6](-[#6])=[#6])-[#6],2
[#6]-[#6](-[#8]-[#6](-[#6]-[#8])-[#6]-[#8]-[#6](-[#8]-[#6](-[#6])-[#6]-[#6])-[#6]-[#8])-[#8]-[#6](-[#6]-[#8])-[#6](-[#8])-[#6]-[#8]-[#6]-[#8]-[#6](-[#6])-[#6](-[#8])-[#6]-[#6],2
[#6](-[#6](-[#6]-[#6]-[#6])-[#6](-[#6])(-[#6]-[#6])-[#6]-[#6])=[#6]-[#6]-[#6](-[#6]-[#6])-[#6]-[#6]-[#6]-[#6](-[#8])=[#8],2
[#6](-[#8]-[#6](-[#8]-[#6](-[#6](-[#8])-[#6]-[#8])-[#6](-[#8])-[#6]-[#8]-[#6]-[#6](-[#8])-[#6]-[#6]-[#6]-[*])-[#6](-[#8])-[#6]-[#8])-[#6]-[#8],2
[#6](-[#6]-[#6]-[#8]-[#6]-[#6]-[#6]-[#8]-[#6]-[#6]-[#6]-[#8])(-[#6])-[#6](-[#6]-[#6])-[#6](-[#6]-[#6])-[#6]-[#6]-[#6]-[#6],2
[#6](-[#6]-[#6]-[#6](-[#6]-[#6]=[#8])-[#6](-[#6]-[#6])(-[#6])-[#6]-[#6](-[#8])-[#6])-[#6](-[#6]-[#6]-[#6]-[#6])-[#6]-[#6],2
[#8]-[#6]-[#6]-[#6](-[#8]-[#6]-1-[#8]-[#6](-[#6]-[#8])-[#6](-[#8])-[#6](-[#8]-[#6](-[#6](-[#8])-[#6]-[#8])-[#8]-[#6](-[#6]-[#8])-[#6]-[#8]-[#6]-2-[#8]-[#6](-[#6]-[#8])-[#6](-[#8])-[#6](-[#8])-[#6]-2)-[#6]-1-[#8])-[#6](-[#8])-[#6]-[#6],2
[#6](-[#6](-[#6])(-[#6]-[#6])-[#6]-[#6])(-[#6]-[#6])-[#6](-[#6])(-[#6])-[#6]-[#6]-[#6](-[#6]-[#6](-[#8])=[#8])-[#8]-[#6]-[#6]-[#6],2
[#6]-[#6]-[#6]-[#6](-[#8]-[#6]-1-[#8]-[#6](-[#6]-[#8]-[#6]-2-[#6](-[#8])-[#6](-[#8])-[#6](-[#8])-[#6](-[#6])-[#8]-2)-[#6](-[#8])-[#6](-[#8])-[#6]-1-[#8])-[#6]-[#6],2
[#6]-[#6]-[#6]=[#6](-[#6](-[#6])-[#6])-[#6](-[#6](-[#6]-[#6]-[#6](-[#6](-[#6]=[#8])-[#6]-[#6]-[#6])-[#6])-[#6])(-[#6])-[#6],2
[#6]-1(-[#8]-[#6]-2-[#6]-[#6](-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](-[#6])(-[#6](-[#6]=[#6]-[#6])-[#6]-[#6])-[#6]-[#8])-[#6](-[#6])-[#6]-[#6]-2)-[#6]-[#6](-[#8]-[#6])-[#6](-[#8])-[#6](-[#6])-[#8]-1,2
[#8]-[#6]-1-[#6](-[#8])-[#6](-[#8])-[#6](-[#6]-[#8]-[#6]-2-[#6]-[#6](-[#8])-[#6](-[#8])-[#6](-[#6]-[#8])-[#8]-2)-[#8]-[#6]-1-[#8]-[*],2
[#6](-[#6](-[#8])-[#6])(-[#8]-[#6](-[#6])-[#6]-[#6]-[#8]-[#6](-[#6]-[#6]-[#6]-[#6])-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6](-[#8])=[#8])-[#8]-[#6](-[#6])-[#6]-[#8],2
[#6]-1(-[#8]-[#6]-2-[#6](-[#6])(-[#6](-[#8])=[#8])-[#6]-3-[#6](-[#6])(-[#6]-[#6]-2)-[#6](-[#6]-[#6])-[#6](-[#6]-[#6]-3)-[#6](-[#6]-[#6]-[#6]-[#6](-[#6])-[#6]-[#6]-[#6])(-[#6])-[#6]-[#6])-[#8]-[#6](-[#6]-[#8])-[#6](-[#8])-[#6](-[#8])-[#6]-1-[#8],2
[#6]-[#6]-[#6]-[#6](-[#6])-[#6](-[#6])(-[#6]-[#6]-[#6]-[#6](-[#6])(-[#6](-[#6](-[#6]-[#6]-[#6](-[#8])=[#8])-[#6])-[#6]-[#6])-[#6]-[#6])-[#6]-[#8],2
[#6](-[#6]-[#6](-[#6])-[#8])(-[#8]-[#6]-[#8]-[#6](-[#6]-[#8])-[#6](-[#8])-[#6](-[#8])-[#6])-[#6]-[#8]-[#6]-[#6]-[#6](-[#8])-[#6]-[#6](-[#8])-[#6]-[#8],2
[#6](-[#6]-[#8]-[#6]-1-[#8]-[#6](-[#6])-[#6](-[#8])-[#6](-[#8])-[#6]-1)(-[#8]-[#6]-[#8]-[#6](-[#6]-[#8])-[#6](-[#8])-[#6]-[#8])-[#6](-[#8])-[#6]-[#6],2
[#6](-[#8]-[#6](-[#8]-[#6]-[#6](-[#8]-[#6](-[#6]-[#8])-[#8]-[#6]-[#6](-[#8])-[#6](-[#8])-[#6]-[#8])-[#6](-[#8])-[#6]-[#8])-[#6](-[#8])-[#6]-[#8])-[#6]-[#8],2
